modelo,f1_original,f1_con_fe,delta_f1,recall_original,recall_con_fe,delta_recall,PR_AUC_original,PR_AUC_con_fe,delta_PR_AUC,FN_original,FN_con_fe,FP_original,FP_con_fe
Gradient Boosting,0.7543859649122807,0.8130081300813008,0.05862216516902008,0.6323529411764706,0.7352941176470589,0.10294117647058831,0.7761160953357522,0.868103074810679,0.09198697947492684,25,18,3,5
Random Forest,0.6788990825688074,0.8333333333333334,0.154434250764526,0.5441176470588235,0.7352941176470589,0.1911764705882354,0.7692171928506917,0.8693694853385366,0.10015229248784496,31,18,4,2
