modelo,f1_antes,f1_despues,delta_f1,recall_antes,recall_despues,delta_recall,precision_antes,precision_despues,delta_precision,PR_AUC_antes,PR_AUC_despues,delta_PR_AUC,ROC_AUC_antes,ROC_AUC_despues,delta_ROC_AUC,FP_antes,FP_despues,delta_FP,FN_antes,FN_despues,delta_FN,costo_antes,costo_despues,delta_costo,brecha_f1_antes,brecha_f1_despues
SVM,0.4090909090909091,0.5882352941176471,0.17914438502673796,0.2647058823529412,0.4411764705882353,0.1764705882352941,0.9,0.8823529411764706,-0.01764705882352946,0.6320978078579015,0.6674903221592109,0.03539251430130941,0.9223983071489464,0.9561259286323226,0.03372762148337616,2,4,2,50,38,-12,502,384,-118,0.061497326203208524,0.0326797385620915
Arbol de decision,0.5954198473282443,0.5486725663716814,-0.04674728095656289,0.5735294117647058,0.45588235294117646,-0.11764705882352938,0.6190476190476191,0.6888888888888889,0.06984126984126982,0.3695420168067227,0.5661889571338388,0.19664694032711605,0.7805535257581293,0.9163393618316892,0.13578583607355987,24,14,-10,29,37,8,314,384,70,0.40458015267175573,0.17016801333846354
Random Forest,0.6538461538461539,0.6788990825688074,0.025052928722653522,0.5,0.5441176470588235,0.044117647058823484,0.9444444444444444,0.9024390243902439,-0.04200542005420049,0.7486935774860115,0.7692171928506917,0.02052361536468017,0.9668775118743149,0.9768222506393862,0.009944738765071293,2,4,2,34,31,-3,342,314,-28,0.34615384615384615,0.18448889557326908
Gradient Boosting,0.7058823529411765,0.7543859649122807,0.0485036119711042,0.6176470588235294,0.6323529411764706,0.014705882352941124,0.8235294117647058,0.9347826086956522,0.11125319693094637,0.7460067402893575,0.7761160953357522,0.03010935504639467,0.9769554560954816,0.9769135915235659,-4.1864571915684046e-05,9,3,-6,26,25,-1,269,253,-16,0.16464106303678494,0.18278680995682928
