modelo,f1_validacion,recall_validacion,PR_AUC_validacion,cv_f1_media,cv_f1_std,brecha_train_val_f1,costo_operativo_val,tiempo_busqueda_s,interpretabilidad,complejidad_de_ajuste
Gradient Boosting,0.7543859649122807,0.6323529411764706,0.7761160953357522,0.6933845497225779,0.06651867875483025,0.18278680995682928,253,146.39270091056824,Media,Alta
Random Forest,0.6788990825688074,0.5441176470588235,0.7692171928506917,0.6547711857656201,0.052583864129092966,0.18448889557326908,314,135.2335433959961,Media,Media
SVM,0.5882352941176471,0.4411764705882353,0.6674903221592109,0.5138762416760692,0.06998036279126785,0.0326797385620915,384,173.680330991745,Baja,Alta
Arbol de decision,0.5486725663716814,0.45588235294117646,0.5661889571338388,0.5938970184744833,0.09980546645791095,0.17016801333846354,384,6.032792091369629,Alta,Baja
