modelo,accuracy_train,balanced_accuracy_train,precision_train,recall_train,f1_train,ROC_AUC_train,PR_AUC_train,FP_train,FN_train,accuracy_val,balanced_accuracy_val,precision_val,recall_val,f1_val,ROC_AUC_val,PR_AUC_val,FP_val,FN_val
SVM,0.976,0.6572042104332885,0.927536231884058,0.31527093596059114,0.47058823529411764,0.9698646573605679,0.765506005556425,5,139,0.974,0.6318353428327853,0.9,0.2647058823529412,0.4090909090909091,0.9223983071489464,0.6320978078579015,2,50
Arbol de decision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.9735,0.7805535257581293,0.6190476190476191,0.5735294117647058,0.5954198473282443,0.7805535257581293,0.3695420168067227,24,29
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0,0,0.982,0.7494824016563146,0.9444444444444444,0.5,0.6538461538461539,0.9668775118743149,0.7486935774860115,2,34
Gradient Boosting,0.9921666666666666,0.8889900585575519,0.9875,0.7783251231527094,0.8705234159779615,0.9866603330582916,0.9415192429247289,2,45,0.9825,0.8064943368651809,0.8235294117647058,0.6176470588235294,0.7058823529411765,0.9769554560954816,0.7460067402893575,9,26
